start_date,end_date,value,price
2025-01-07T00:00:00+01:00,2025-01-07T01:00:00+01:00,18522.4,20.88
2025-01-07T01:00:00+01:00,2025-01-07T02:00:00+01:00,18734.3,6.66
2025-01-07T02:00:00+01:00,2025-01-07T03:00:00+01:00,18429.3,12.54
2025-01-07T03:00:00+01:00,2025-01-07T04:00:00+01:00,19179.1,5.59
2025-01-07T04:00:00+01:00,2025-01-07T05:00:00+01:00,18950.1,0.4
2025-01-07T05:00:00+01:00,2025-01-07T06:00:00+01:00,17972.1,12.49
2025-01-07T06:00:00+01:00,2025-01-07T07:00:00+01:00,16254.1,60.01
2025-01-07T07:00:00+01:00,2025-01-07T08:00:00+01:00,17052.6,97.56
2025-01-07T08:00:00+01:00,2025-01-07T09:00:00+01:00,18415.6,115
2025-01-07T09:00:00+01:00,2025-01-07T10:00:00+01:00,18798.6,105.18
2025-01-07T10:00:00+01:00,2025-01-07T11:00:00+01:00,18636.8,93.49
2025-01-07T11:00:00+01:00,2025-01-07T12:00:00+01:00,19165.2,74.93
2025-01-07T12:00:00+01:00,2025-01-07T13:00:00+01:00,19647.6,71.25
2025-01-07T13:00:00+01:00,2025-01-07T14:00:00+01:00,19576.1,73.12
2025-01-07T14:00:00+01:00,2025-01-07T15:00:00+01:00,18329.6,79.76
2025-01-07T15:00:00+01:00,2025-01-07T16:00:00+01:00,17611.5,85
2025-01-07T16:00:00+01:00,2025-01-07T17:00:00+01:00,17469.4,100.64
2025-01-07T17:00:00+01:00,2025-01-07T18:00:00+01:00,17540.1,118.34
2025-01-07T18:00:00+01:00,2025-01-07T19:00:00+01:00,15838.7,128.87
2025-01-07T19:00:00+01:00,2025-01-07T20:00:00+01:00,15256,125
2025-01-07T20:00:00+01:00,2025-01-07T21:00:00+01:00,14172.3,107.24
2025-01-07T21:00:00+01:00,2025-01-07T22:00:00+01:00,14164.7,100.55
2025-01-07T22:00:00+01:00,2025-01-07T23:00:00+01:00,13118.8,98.53
2025-01-07T23:00:00+01:00,2025-01-08T00:00:00+01:00,11055.1,89.27
